LocalityHint,TableSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock
1,10000000,16,Time WITHOUT software prefetching: 163 microseconds.139286058,80413905,108586736623,33003061370,0,21683803,2096,6751,0,15641726746,10620359,78691208,9004.27
1,10000000,20,Time WITHOUT software prefetching: 161 microseconds.139273300,80403146,108597220843,32699166683,0,21662387,1903,9953,0,15649269333,10778518,77830525,9001.40
1,10000000,24,Time WITHOUT software prefetching: 169 microseconds.139020554,80307734,108572477110,33052675333,0,21739957,3193,9558,0,15657978277,10701334,78517645,9087.42
1,10000000,28,Time WITHOUT software prefetching: 163 microseconds.139078016,80356704,108586718428,32709000820,0,21729498,3390,10758,0,15648144165,10833252,77566545,9118.56
2,1000000,4,Time WITHOUT software prefetching: 159 microseconds.14249181,8250296,10995773974,3233783866,0,2148285,2886,4740,0,1549759148,661180,7831474,903.57
2,1000000,8,Time WITHOUT software prefetching: 128 microseconds.14026050,8051922,10813040867,3177445762,0,2184349,2813,4876,0,1561415680,664803,7836846,864.78
2,1000000,12,Time WITHOUT software prefetching: 127 microseconds.14023839,8020052,10783428120,3196985142,0,2193010,2761,2190,0,1564210787,846849,7902511,868.01
2,1000000,16,Time WITHOUT software prefetching: 134 microseconds.14040242,8111826,10902571820,3198472694,0,2178450,2821,2615,0,1560645562,677907,7865479,862.24
2,1000000,20,Time WITHOUT software prefetching: 128 microseconds.14014665,8032586,10808566213,3178597219,0,2193021,2784,2255,0,1564993680,680924,7820809,866.95
2,1000000,24,Time WITHOUT software prefetching: 125 microseconds.14084703,8084720,10826856553,3211456828,0,2185290,2776,349,0,1571399402,830688,7920163,888.20
2,1000000,28,Time WITHOUT software prefetching: 128 microseconds.14072778,8036953,10799464812,3194401197,0,2189281,2872,2283,0,1568703034,674098,7901221,870.25
2,6000000,4,Time WITHOUT software prefetching: 141 microseconds.83540601,48135307,65091540759,19482608055,0,12869592,3573,5056,0,9417149909,5025130,46997188,5347.38
2,6000000,8,Time WITHOUT software prefetching: 132 microseconds.83372483,48066655,65044238851,19442432940,0,12877104,1809,5105,0,9417766211,4990116,46949050,5322.84
2,6000000,12,Time WITHOUT software prefetching: 140 microseconds.83359157,48174184,65179250538,19392483186,0,13004696,3493,4256,0,9406889877,4958051,47020481,5269.02
2,6000000,16,Time WITHOUT software prefetching: 129 microseconds.83321998,48116146,65119355815,19458163107,0,12909532,3527,7065,0,9384532467,4966931,46862735,5308.08
2,6000000,20,Time WITHOUT software prefetching: 155 microseconds.83430936,48177408,65167565761,19331563387,0,12959339,3466,4832,0,9403690442,4974674,47190598,5194.81
2,6000000,24,Time WITHOUT software prefetching: 133 microseconds.83402942,48256689,65240248057,19424621157,0,12895348,3652,4343,0,9384245086,4949482,46772160,5310.78
2,6000000,28,Time WITHOUT software prefetching: 133 microseconds.83766784,48325773,65270741132,19419705779,0,12855122,3588,2393,0,9375178815,5197871,46943385,5294.16
2,10000000,4,Time WITHOUT software prefetching: 165 microseconds.139145766,80468143,108635280929,32716946741,0,21714057,3203,8880,0,15661487424,10937259,77743443,9008.18
2,10000000,8,Time WITHOUT software prefetching: 173 microseconds.139078006,80311511,108566607128,33039649951,0,21722091,3396,11056,0,15656393519,10637769,78495048,9091.47
2,10000000,12,Time WITHOUT software prefetching: 165 microseconds.139129533,80341168,108587080951,32783683181,0,21700123,3080,9082,0,15652162162,10862904,77851837,9035.22
2,10000000,16,Time WITHOUT software prefetching: 161 microseconds.139068071,80340806,108553226921,32789098737,0,21675316,3275,6462,0,15672203144,10641656,77638957,9142.10
2,10000000,20,Time WITHOUT software prefetching: 170 microseconds.139277857,80398436,108613663010,32830224122,0,21693136,3438,7306,0,15654149648,10675953,77681569,9442.95
2,10000000,24,Time WITHOUT software prefetching: 161 microseconds.139100845,80329803,108551349137,32706230913,0,21702038,3430,10612,0,15659143793,10641448,77607303,9158.47
2,10000000,28,Time WITHOUT software prefetching: 178 microseconds.139161104,80599858,108822980839,33276986767,0,21691058,4480,8519,0,15662547573,10631067,78371477,9572.59
3,1000000,4,Time WITHOUT software prefetching: 133 microseconds.13991533,8050110,10804490727,3149038325,0,2187238,2849,2164,0,1573410026,653044,7827650,875.03
3,1000000,8,Time WITHOUT software prefetching: 128 microseconds.14085565,8131896,10893045447,3151950096,0,2184211,2842,531,0,1556550916,670949,7758251,855.75
3,1000000,12,Time WITHOUT software prefetching: 124 microseconds.14024791,8102020,10863428479,3210324225,0,2165471,2807,2381,0,1578917426,661323,7833247,907.40
3,1000000,16,Time WITHOUT software prefetching: 127 microseconds.14058485,8096016,10877062794,3149454540,35,2177054,2851,506,0,1558056535,656575,7773832,856.00
