TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
4	3000	314264713778	70030832212	4.487519	69584756311	4653415182	6.69	45007807925	1797625	0.00	870847954	740201603	85.00	0	16.924010000
5	256	187328170	45845448	4.086080	43706634	1579136	3.61	27816160	21713	0.08	39009	14934	38.28	0	0.012270000
5	300	295872556	70987114	4.167976	68988877	1715937	2.49	43729778	24555	0.06	57590	24882	43.21	0	0.021790000
5	400	690526016	160543302	4.301182	160280933	6031060	3.76	101326014	32624	0.03	729319	66981	9.18	0	0.042100000
5	512	1438783094	355511275	4.047081	332678588	17802060	5.35	210125076	42889	0.02	11443760	146719	1.28	0	0.088930000
5	800	5418829692	1241721547	4.363965	1249455885	54762956	4.38	786917686	95086	0.01	13288680	781165	5.88	0	0.298770000
5	1024	11325844218	2605910867	4.346213	2607307449	140769258	5.40	1641014652	127798	0.01	93565644	1598787	1.71	0	0.598450000
5	1200	18184143330	4751599851	3.826952	4183635828	192166184	4.59	2631690352	173310	0.01	44455785	16620994	37.39	0	1.122770000
5	1500	35436664687	9150858212	3.872496	8145759683	386261470	4.74	5121558747	262744	0.01	87210896	40281651	46.19	0	2.184620000
5	1800	61144227232	15903244825	3.844764	14046849939	661939098	4.71	8828953543	469860	0.01	149391203	94806948	63.46	0	3.634050000
5	2000	83812487730	22643740556	3.701353	19248834029	905132412	4.70	12096633993	465129	0.00	206388294	142473773	69.03	0	5.083080000
5	2048	90016174123	49713349022	1.810704	20669105473	1228548133	5.94	12990509122	516607	0.00	758635842	550332181	72.54	0	11.121840000
5	2400	144668863619	37310074418	3.877475	33210765404	1578597497	4.75	20865734087	2279102	0.01	387498394	291546734	75.24	0	8.505950000
5	2700	205858134280	62818574177	3.277027	47246011400	2255884052	4.77	29679828624	196256577	0.66	511101824	421106402	82.39	0	14.454250000
5	3000	282246831917	77504355913	3.641690	64765057600	3094383588	4.78	40680859364	7332272	0.02	705189506	600080474	85.09	0	17.739310000
6	256	174777311	48513717	3.602637	41970490	1098751	2.62	26075687	42852	0.16	40674	15556	38.25	0	0.011690000
6	300	276842041	74994715	3.691487	66369767	1233054	1.86	41086679	59121	0.14	55723	22314	40.04	0	0.019790000
6	400	646502712	172523013	3.747342	154215900	4295469	2.79	95212816	102344	0.11	834206	77447	9.28	0	0.044150000
6	512	1344257800	374056657	3.593728	319630333	14170670	4.43	197005472	171993	0.09	7797278	111749	1.43	0	0.092720000
6	800	5066744955	1277397222	3.966460	1200943950	38132461	3.18	738020353	721012	0.10	11067222	594501	5.37	0	0.297810000
6	1024	10571856728	3300426520	3.203179	2503451333	115106223	4.60	1536287286	289527	0.02	66331568	7073013	10.66	0	0.747500000
6	1200	16966889641	4570836604	3.711988	4016066179	133688038	3.33	2462584743	2251399	0.09	37146985	6413117	17.26	0	1.077180000
6	1500	33059305256	9420521812	3.509286	7818481302	266311457	3.41	4791280416	3268018	0.07	72830177	32141739	44.13	0	2.127740000
6	1800	57036256254	17793139002	3.205520	13481323421	457080085	3.39	8258243085	6414586	0.08	125103396	82362114	65.84	0	4.039670000
6	2000	78231288874	24216443681	3.230503	18480199215	628815385	3.40	11321329021	7874918	0.07	172627771	127690631	73.97	0	5.419760000
6	2048	83984938924	39164256147	2.144428	19838303360	1000209960	5.04	12152736806	2011073	0.02	526861901	387044150	73.46	0	8.752390000
6	2400	134931754346	40451582826	3.335636	31870278613	1118272258	3.51	19512959375	13912875	0.07	335234667	249999948	74.57	0	9.052570000
6	2700	191994304652	62352855733	3.079158	45337394862	1559800496	3.44	27753716176	16956505	0.06	423677024	351480088	82.96	0	14.045600000
6	3000	263229389002	84232244330	3.125043	62146936785	2147616233	3.46	38038738649	22190254	0.06	589317082	498129243	84.53	0	18.832100000
7	256	167065743	52110287	3.206003	40977319	1044117	2.55	24985309	394370	1.58	41608	18216	43.78	0	0.015960000
7	300	264531085	81913762	3.229385	64789249	1456890	2.25	39344425	650416	1.65	57049	23132	40.55	0	0.022630000
7	400	618270955	186458361	3.315866	150579550	3925933	2.61	91220381	1503453	1.65	609283	76938	12.63	0	0.048650000
7	512	1282590873	404405430	3.171547	311686890	13586868	4.36	188284345	3127613	1.66	6255776	104036	1.66	0	0.099870000
7	800	4828815073	1482250447	3.257759	1170342961	32884984	2.81	704355557	11220976	1.59	9551890	1334994	13.98	0	0.354620000
7	1024	10079958008	3234922942	3.115981	2440242989	126866351	5.20	1466670438	24259283	1.65	62912940	3019921	4.80	0	0.755220000
7	1200	16179405338	5290297332	3.058317	3914945792	112723326	2.88	2351112896	34960915	1.49	32061176	10920774	34.06	0	1.219270000
7	1500	31521304019	10609721193	2.970983	7620985350	223642668	2.93	4573566749	66202915	1.45	63092890	29180279	46.25	0	2.429540000
7	1800	54378648661	18783953508	2.894952	13140052328	383247583	2.92	7882035761	112085905	1.42	107836172	76402067	70.85	0	4.205820000
7	2000	74481585851	26330310888	2.828739	17998683184	521565331	2.90	10790529326	181308081	1.68	148531514	103247500	69.51	0	5.958700000
7	2048	79970862378	35586097392	2.247250	19322796973	968144223	5.01	11584520678	170179332	1.47	458904261	324456364	70.70	0	7.957440000
7	2400	128523604180	44553227336	2.884720	31047821728	929115184	2.99	18605703306	266721147	1.43	299662615	221720965	73.99	0	10.105960000
7	2700	182887490092	64403882539	2.839697	44168499086	1312389350	2.97	26464396528	358061248	1.35	367536387	303196986	82.49	0	14.394190000
7	3000	250756175618	89109934889	2.814009	60545875798	1781946697	2.94	36272833199	516416530	1.42	512652041	437269560	85.30	0	20.096250000
8	256	161011468	48370870	3.328687	40241232	969231	2.41	24117178	315666	1.31	38090	15271	40.09	0	0.012530000
8	300	256212692	75466315	3.395060	63777251	1437061	2.25	38151742	483936	1.27	54586	25357	46.45	0	0.019120000
8	400	594612626	173797087	3.421304	147700973	3149163	2.13	87828084	1154287	1.31	552644	91088	16.48	0	0.043350000
8	512	1234175499	355360836	3.473021	305799726	12934118	4.23	181340791	2393433	1.32	5974198	120254	2.01	0	0.087140000
8	800	4651730007	1348408978	3.449792	1148832660	27418771	2.39	678950521	9064374	1.34	8364699	829836	9.92	0	0.310380000
8	1024	9712571709	3293026586	2.949436	2395628595	121583706	5.08	1413959745	20419567	1.44	66585816	6836904	10.27	0	0.757890000
8	1200	15595411028	4888339056	3.190329	3844048616	93244215	2.43	2267317230	30737123	1.36	28124591	6966376	24.77	0	1.128350000
8	1500	30400953099	10626037164	2.860987	7484910223	191102562	2.55	4412825367	95952139	2.17	55694497	24493188	43.98	0	2.388020000
8	1800	52407774119	17865536753	2.933456	12900784111	318906437	2.47	7599235100	105192177	1.38	94467167	64509192	68.29	0	4.125810000
