Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,50866,2312746,72049684,32275172,0,19948,2243,0,4849884,84812,39978,13.26,"Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
300,376546,3292822,141728426,59261263,0,36262,2717,0,7295248,110914,305982,18.72,"Array same : 1 Loop optimized matrix multiplication took 14 ms to execute  Normalized performance: 0.000000  "
400,2859727,8188653,311489206,132207365,0,82981,5776,0,14416709,184565,2735953,33.64,"Array same : 1 Loop optimized matrix multiplication took 26 ms to execute  Normalized performance: 0.000000  "
512,16552862,17379696,641775437,264643588,0,120874,8356,0,26944574,294319,16551827,62.55,"Array same : 1 Loop optimized matrix multiplication took 53 ms to execute  Normalized performance: 0.000000  "
800,64686900,65078842,2395858915,1116480702,0,2177722,180708,0,88973227,691749,64072659,267.00,"Array same : 1 Loop optimized matrix multiplication took 244 ms to execute  Normalized performance: 0.000000  "
1024,140318463,134681771,4986099481,2559080980,0,11693985,1363583,0,171551169,1156566,134579395,595.00,"Array same : 1 Loop optimized matrix multiplication took 559 ms to execute  Normalized performance: 0.000000  "
1200,255079459,216914569,7982013540,4887381674,0,76014262,5619991,0,268667438,1554962,214531492,1135.41,"Array same : 1 Loop optimized matrix multiplication took 1088 ms to execute  Normalized performance: 0.000000  "
1500,578234220,425570914,15586653035,9019309829,0,181421100,11128869,0,509915459,2418347,415291754,2059.58,"Array same : 1 Loop optimized matrix multiplication took 1986 ms to execute  Normalized performance: 0.000000  "
1800,1200105866,733165937,26750014613,14619625508,0,414922798,19382894,0,843174432,3502878,696822655,3302.14,"Array same : 1 Loop optimized matrix multiplication took 3202 ms to execute  Normalized performance: 0.000000  "
2000,1740355412,1004177312,36566469349,19784494888,0,643265138,26249441,0,1139823776,4280908,952669224,4463.52,"Array same : 1 Loop optimized matrix multiplication took 4342 ms to execute  Normalized performance: 0.000000  "
2048,1858581581,1078655674,39284190042,21097455478,0,679642167,34195411,0,1221529895,4486884,1022382670,4762.73,"Array same : 1 Loop optimized matrix multiplication took 4633 ms to execute  Normalized performance: 0.000000  "
2400,3009224643,1741831750,63058629294,33766373530,0,1231421776,51170937,0,1932071717,6160075,1651955225,7603.76,"Array same : 1 Loop optimized matrix multiplication took 7431 ms to execute  Normalized performance: 0.000000  "
2700,4289437585,2498725478,89777404232,48847967429,0,1847376168,67498407,0,2740714691,7783526,2366067250,10977.46,"Array same : 1 Loop optimized matrix multiplication took 10759 ms to execute  Normalized performance: 0.000000  "
3000,5895353681,3452312014,122784754682,66156674312,0,2642737706,100260781,0,3693701571,9610833,3251040494,14846.14,"Array same : 1 Loop optimized matrix multiplication took 14582 ms to execute  Normalized performance: 0.000000  "
257,61054,601026,77146466,38894309,0,17164,2114,0,4945962,85384,29695,9.83,"Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
301,68021,2493893,131213789,58639660,0,25148,2424,0,7431536,112197,42245,14.53,"Array same : 1 Loop optimized matrix multiplication took 10 ms to execute  Normalized performance: 0.000000  "
401,4116807,8446820,313632313,132604150,0,70678,5332,0,14593377,184430,3785836,33.19,"Array same : 1 Loop optimized matrix multiplication took 26 ms to execute  Normalized performance: 0.000000  "
513,16886281,18372204,669398169,269363442,0,103788,9082,0,27240404,292807,16526581,65.89,"Array same : 1 Loop optimized matrix multiplication took 53 ms to execute  Normalized performance: 0.000000  "
801,64813063,64986589,2421389862,974614691,0,386336,36846,0,89754004,698236,63787732,221.45,"Array same : 1 Loop optimized matrix multiplication took 200 ms to execute  Normalized performance: 0.000000  "
1025,135741796,135013202,5012381778,2125698572,0,2002326,268585,0,172672946,1137952,135423815,481.12,"Array same : 1 Loop optimized matrix multiplication took 447 ms to execute  Normalized performance: 0.000000  "
1201,229343710,217948684,8022265552,4196436144,0,27307001,2392994,0,270541059,1556189,216585134,956.56,"Array same : 1 Loop optimized matrix multiplication took 911 ms to execute  Normalized performance: 0.000000  "
1501,497524846,424644279,15607828835,9137157505,0,211003131,14714853,0,512378756,2419096,418885316,2081.43,"Array same : 1 Loop optimized matrix multiplication took 2010 ms to execute  Normalized performance: 0.000000  "
1801,1246232980,733077243,26811258330,14639673160,0,440042349,18201628,0,847131434,3472163,697408019,3310.50,"Array same : 1 Loop optimized matrix multiplication took 3209 ms to execute  Normalized performance: 0.000000  "
2001,1739903693,1005488419,36667579033,19960220254,0,648756743,25490074,0,1144453822,4285089,965094083,4510.96,"Array same : 1 Loop optimized matrix multiplication took 4389 ms to execute  Normalized performance: 0.000000  "
2049,1862235558,1079503853,39371168672,21448258446,0,685916647,26649458,0,1227462121,4495007,1036708391,4841.03,"Array same : 1 Loop optimized matrix multiplication took 4713 ms to execute  Normalized performance: 0.000000  "
2401,3005024366,1743180175,63201840792,34364422925,0,1261558123,47304244,0,1938977204,6162671,1677238861,7736.73,"Array same : 1 Loop optimized matrix multiplication took 7564 ms to execute  Normalized performance: 0.000000  "
2701,4298285148,2510194034,89924870096,52117932416,0,1974027519,72130444,0,2751396010,7819854,2377132127,11910.54,"Array same : 1 Loop optimized matrix multiplication took 11688 ms to execute  Normalized performance: 0.000000  "
3001,5935411223,3553241147,122999640433,75451909759,0,2897920945,106341182,0,3703879174,9621617,3306331691,17392.51,"Array same : 1 Loop optimized matrix multiplication took 17113 ms to execute  Normalized performance: 0.000000  "
