LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
3,125000,720,4,3048323,2424388,1815600860,598809213,21822,2980302,17191,25751,10,213060623,127349,4480171,175.25," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 149 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,720,8,2580763,2223190,1742970238,593350588,23221,3384891,33729,24821,6,214792357,109130,3737502,178.33," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 121 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,720,12,2716341,2288640,1774789637,604071911,22092,3314951,45735,18826,8,210564849,109917,3976050,179.16," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 128 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,720,16,2991092,2387276,1736442531,625663719,22197,3258009,28095,19632,6,208556297,106217,3996073,179.12," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 124 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,720,20,3151158,2503848,1801332025,605269098,22672,3139568,19226,16916,5,209264551,114565,4297068,178.51," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 133 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,720,24,3025819,2665240,1718495412,620086938,22128,3154849,35111,50106,6,225257100,127702,4418152,184.26," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 132 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,720,28,3123668,2585085,1752157521,619925680,23890,2887625,17744,30058,3,218872803,131244,4657393,189.10," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 142 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,1024,4,3026324,2329064,1789196659,600658529,21094,2932882,24244,36703,8,217956811,140254,4497703,184.98," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 165 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,1024,8,2701248,2318914,1746295235,601654598,22551,3385279,44951,24613,6,214894814,109096,3920107,169.63," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 167 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,1024,12,3440268,2572773,1810882044,604681720,21248,3092336,16858,17929,22,212921124,123960,4820533,176.69," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 176 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,1024,16,2707881,2219739,1740263618,599676464,22938,3208467,48149,66840,11,223430989,129458,4164073,182.87," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 205 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,1024,20,2956969,2396729,1760875308,606784028,22995,3250351,39576,21694,8,211085773,110134,3881679,179.91," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 179 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
3,125000,1024,24,2650687,2333195,1737060828,606843213,22307,3435559,65587,46099,7,217295795,112724,3963869,181.04," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 187 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 0 microseconds.  Speedup (with software prefetching) = 0.000x Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = -nanx "
