LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput,TimeElapsedMicroSeconds
0.0,50000.0,192.0,28.0,1238755.0,826595.0,778024112,189150512,0.0,186001.0,2483.0,10793.0,0.0,116585362.0,71959.0,650537.0,49.29, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 88 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,88.0
0.0,50000.0,320.0,4.0,2022397.0,1265044.0,1369346124,313312979,0.0,301453.0,3058.0,16657.0,0.0,192458316.0,116717.0,1042999.0,80.25, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 147 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,147.0
0.0,50000.0,320.0,8.0,2008519.0,1227400.0,1348222071,315115597,669.0,300757.0,3209.0,16079.0,0.0,195498618.0,86293.0,1076656.0,80.33, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 147 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,147.0
0.0,50000.0,320.0,12.0,2001508.0,1304286.0,1413149148,315533532,0.0,300888.0,3185.0,17993.0,0.0,189706578.0,158305.0,1019721.0,80.19, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 135 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,135.0
0.0,50000.0,320.0,16.0,2026161.0,1294042.0,1397908686,313263500,0.0,299833.0,3111.0,17194.0,0.0,190771181.0,164031.0,1035988.0,79.75, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 141 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,141.0
0.0,50000.0,320.0,20.0,2024293.0,1229198.0,1356967524,312420351,376.0,300106.0,3120.0,16200.0,0.0,194370110.0,104894.0,1075071.0,79.93, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 142 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,142.0
0.0,50000.0,320.0,24.0,2021545.0,1281155.0,1384565914,313304136,0.0,300960.0,3241.0,17598.0,0.0,190785014.0,138278.0,1033942.0,80.39, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 137 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,137.0
0.0,50000.0,320.0,28.0,1992910.0,1274078.0,1376682835,322881614,0.0,300126.0,3400.0,15916.0,0.0,191174967.0,80527.0,1055839.0,83.22, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 156 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,156.0
0.0,50000.0,512.0,4.0,3057738.0,1911497.0,2244849265,507471026,790.0,470531.0,4348.0,783.0,0.0,307033003.0,165471.0,1647402.0,128.93, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 196 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,196.0
0.0,50000.0,512.0,8.0,3078816.0,1914770.0,2246487498,503743836,695.0,466424.0,1570.0,144.0,0.0,309950808.0,166192.0,1639991.0,126.21, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 188 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,188.0
0.0,50000.0,512.0,12.0,3013759.0,1916356.0,2250031129,511915967,595.0,469050.0,4358.0,2852.0,0.0,302998011.0,245688.0,1625109.0,127.75, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 190 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,190.0
0.0,50000.0,512.0,16.0,3044682.0,1909761.0,2245020533,509286508,491.0,468941.0,4690.0,1614.0,0.0,305876984.0,139704.0,1639509.0,129.14, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 187 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,187.0
0.0,50000.0,512.0,20.0,3044161.0,1913933.0,2246663435,506119124,394.0,466775.0,4289.0,1532.0,0.0,306489529.0,178670.0,1642535.0,127.18, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 190 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,190.0
0.0,50000.0,512.0,24.0,3039744.0,1917675.0,2249340032,510639593,296.0,470145.0,4488.0,1805.0,0.0,305383624.0,185137.0,1606425.0,125.99, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 188 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,188.0
0.0,50000.0,512.0,28.0,3033695.0,1914681.0,2247244567,507369254,197.0,468106.0,4470.0,1983.0,0.0,304992815.0,160891.0,1634827.0,127.65000000000002, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 223 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,223.0
0.0,50000.0,640.0,4.0,3724596.0,2304033.0,2774786045,633686898,788.0,591286.0,5084.0,1803.0,0.0,380505082.0,224858.0,2011127.0,161.86, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 243 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,243.0
0.0,50000.0,640.0,8.0,3731519.0,2308395.0,2775594694,634131078,694.0,590581.0,1574.0,1613.0,0.0,379945313.0,170459.0,2005810.0,156.51, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 248 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,248.0
0.0,50000.0,640.0,12.0,3712467.0,2300075.0,2771239464,632165278,588.0,596628.0,5032.0,1960.0,0.0,379406647.0,268774.0,1997128.0,162.66, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 261 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,261.0
0.0,50000.0,640.0,16.0,3628843.0,2307412.0,2779526846,633232946,488.0,593634.0,5099.0,35306.0,0.0,374760825.0,288209.0,1949670.0,165.79, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 249 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,249.0
0.0,50000.0,640.0,20.0,3763424.0,2308387.0,2774859422,633362948,396.0,584867.0,1514.0,114.0,0.0,381966352.0,205807.0,2017723.0,156.16, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 239 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,239.0
0.0,50000.0,640.0,24.0,3769101.0,2308781.0,2778644928,634939710,296.0,585341.0,1679.0,107.0,0.0,383704173.0,206226.0,2025487.0,156.81, Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 238 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x ,238.0
