TileSize	MatrixSize	Instructions	Cycles	IPC	L1-dcache-loads	L1-dcache-load-misses	L1-miss-rate-percent	Branch-instructions	Branch-misses	Branch-miss-rate-percent	Cache-references	Cache-misses	Cache-miss-rate-percent	Context-switches	TimeElapsedSeconds
3	3000	378239149910	75934126700	4.981148	80397687186	6859117267	8.53	53289488550	3657937	0.01	1153159909	984898644	85.41	0	16.975430000
3	257	249362508	51730922	4.820376	53990558	1334211	2.47	35983272	27388	0.08	34977	9858	28.18	0	0.012310000
3	301	397725828	81887120	4.857001	85800430	2139106	2.49	57137573	31557	0.06	52236	17432	33.37	0	0.020380000
3	401	926722225	186571111	4.967126	199111493	13482019	6.77	132408063	44377	0.03	1342346	88654	6.60	0	0.044060000
3	513	1923823030	396914999	4.846940	412285971	34273394	8.31	273919462	62565	0.02	5507361	131742	2.39	0	0.099740000
3	801	7266627790	1412893845	5.143081	1551697822	131955705	8.50	1029873905	168768	0.02	21872492	923313	4.22	0	0.338110000
3	1025	15194633827	3108319740	4.888375	3239782312	279950810	8.64	2149497783	6146494	0.29	45794954	3598304	7.86	0	0.731650000
3	1201	24419633808	4990722240	4.893006	5202558483	448549978	8.62	3451118029	275619	0.01	73654002	12862523	17.46	0	1.145640000
3	1501	47579074000	10772000709	4.416921	10128585274	877896013	8.67	6717085619	427123	0.01	143642743	64567264	44.95	0	2.462100000
3	1801	82084581393	19334275061	4.245547	17464830874	1502264229	8.60	11580372020	621929	0.01	247920911	174257479	70.29	0	4.335080000
3	2001	112424086801	26048270891	4.315990	23916574934	2068424949	8.65	15856320620	1266232	0.01	339764252	258210335	76.00	0	5.912120000
3	2049	120696170177	27291794697	4.422434	25674830531	2217002981	8.63	17021725849	1039552	0.01	364657240	290517248	79.67	0	6.117030000
3	2401	194181806283	42081435090	4.614429	41287987037	3616078534	8.76	27370909783	20446235	0.07	586932274	492494199	83.91	0	9.862680000
3	2701	276297520844	56531703997	4.887479	58734894635	5102128327	8.69	38934158181	34786283	0.09	838116136	694244159	82.83	0	12.945570000
3	3001	378807305901	86698687180	4.369239	80512024353	6976304004	8.66	53366728699	494784005	0.93	1144158944	999401928	87.35	0	20.346860000
4	256	206075397	44335572	4.648083	46535829	2344141	5.04	30346206	22842	0.08	38022	12751	33.54	0	0.013490000
4	300	327914481	67733930	4.841214	73810430	2466408	3.34	48058566	26668	0.06	50819	19358	38.09	0	0.016960000
4	400	766461284	153289356	5.000095	171708574	10045499	5.85	111585635	36067	0.03	1180146	67558	5.72	0	0.040990000
4	512	1594522583	419253928	3.803238	356143795	22010828	6.18	231160508	47972	0.02	18881829	122294	0.65	0	0.102910000
4	800	6026121756	1160641833	5.192060	1340862302	83265880	6.21	868980063	99529	0.01	16557194	879947	5.31	0	0.266690000
4	1024	12594700312	3341783820	3.768855	2798331015	175109304	6.26	1812467733	152877	0.01	141129821	6209807	4.40	0	0.763220000
4	1200	20233542456	4295153114	4.710785	4492116896	294973405	6.57	2908635362	363825	0.01	55479429	15023958	27.08	0	0.979540000
4	1500	39439230048	8918104787	4.422378	8748247212	581243772	6.64	5662452451	500272	0.01	109039048	51880648	47.58	0	2.007800000
4	1800	68060470181	15708710234	4.332658	15087934191	994100333	6.59	9763603705	693996	0.01	186873502	120704063	64.59	0	3.524760000
4	2000	93299659992	21455130436	4.348594	20676924184	1361149864	6.58	13378724048	533936	0.00	257841415	181930722	70.56	0	4.806720000
4	2048	100165791246	77910557819	1.285651	22197197373	1559378628	7.03	14362037449	562552	0.00	1214571028	879403748	72.40	0	17.403390000
4	2400	161062361653	37606984963	4.282778	35678481711	2360731743	6.62	23081162274	1794725	0.01	481161971	368175582	76.52	0	8.507780000
4	2700	229199383041	54276430903	4.222816	50759587269	3396246508	6.69	32834189608	1824939	0.01	632453176	576379102	91.13	0	12.455980000
4	3000	314264710555	75451423128	4.165126	69584753081	4600001358	6.61	45007804695	104588197	0.23	870498904	774364200	88.96	0	17.314410000
4	257	209668030	44356933	4.726838	47264028	1102260	2.33	30853267	24033	0.08	39087	15203	38.90	0	0.013210000
4	301	332869076	68297592	4.873804	74804553	1946111	2.60	48756571	26833	0.06	52808	19859	37.61	0	0.019270000
4	401	775219819	155901226	4.972506	173461550	10023134	5.78	112816293	38807	0.03	1187148	56658	4.77	0	0.039650000
4	513	1608819241	325734579	4.939050	359000436	21726379	6.05	233165803	49301	0.02	3962228	186762	4.71	0	0.080070000
4	801	6060858613	1147389042	5.282305	1347788251	83854472	6.22	873841394	101297	0.01	16502642	246809	1.50	0	0.273510000
4	1025	12651506761	2575688592	4.911893	2809647721	179361588	6.38	1820410597	164654	0.01	34585641	4190610	12.12	0	0.601550000
4	1201	20311477159	3938936824	5.156589	4507635343	282772457	6.27	2919526891	204480	0.01	55506705	4480962	8.07	0	0.901300000
4	1501	39560864844	9047704892	4.372475	8772455493	556302699	6.34	5679442713	310058	0.01	108246377	47363954	43.76	0	2.025260000
4	1801	68235492038	16002809273	4.263970	15122756769	948999389	6.28	9788043415	440140	0.00	186668910	105066751	56.29	0	3.618010000
4	2001	93515653606	24035319442	3.890760	20719890847	1307408972	6.31	13408879192	91166856	0.68	256253425	166173298	64.85	0	5.421190000
4	2049	100392253032	22536759170	4.454600	22242240218	1428532057	6.42	14393647955	562248	0.00	274641462	184839928	67.30	0	5.046580000
4	2401	161373212022	38329677213	4.210138	35740299776	2278296173	6.37	23124546522	5046038	0.02	443061012	332003567	74.93	0	8.649880000
4	2701	229592678257	53580656806	4.284992	50837789923	3196682420	6.29	32889072344	970424	0.00	631897010	502699454	79.55	0	11.977460000
4	3001	314750135062	71920730267	4.376348	69681262264	4397077581	6.31	45075534110	1194005	0.00	863936626	720365756	83.38	0	16.136090000
5	256	187328177	45850584	4.085622	43706634	1578650	3.61	27816160	21736	0.08	35239	11427	32.43	0	0.012320000
5	300	295872564	70632872	4.188879	68988878	1720089	2.49	43729779	24598	0.06	50618	17754	35.07	0	0.024960000
5	400	690526024	160282085	4.308192	160280934	6039119	3.77	101326015	32605	0.03	913070	54182	5.93	0	0.041510000
