LocalityHint,TableSize,InputSize,PrefetchDistance,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,mem_load_retired.l3_miss,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ProgramOutput
0,125000,1024,8,14009790,8247467,10808588776,2474149771,684,2220550,7128,2275,0,1563331705,732856,7782150,660.92," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 289 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,125000,1024,12,14042814,8268316,10833860699,2489228724,587,2227114,7467,176,0,1561437135,815607,7820191,623.46," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 286 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,125000,1024,16,14050539,8248305,10810065294,2489637433,0,2240128,7008,51836,0,1554643173,690354,7967999,644.35," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 325 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,125000,1024,20,14026528,8261476,10816878345,2478471686,0,2236603,7166,53365,0,1557956498,885655,7967775,643.51," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 285 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,125000,1024,24,14009221,8249526,10814804909,2482772613,293,2245163,7666,2051,0,1563344427,804579,7792115,622.86," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 292 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,125000,1024,28,14078523,8269967,10833740381,2499507026,195,2222009,7646,495,0,1557059707,715963,7790193,664.06," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 283 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,90,4,2484091,1599930,1918931184,445138050,0,397615,1891,2532,0,269089643,149150,1371825,161.65,"malloc(): corrupted top size "
0,250000,90,8,2505919,1616865,1924714188,438765494,0,402656,1937,2709,0,263814568,156727,1381901,158.61,"malloc(): corrupted top size "
0,250000,90,12,2519814,1619259,1930423579,442594849,0,403367,1948,2615,0,266675085,151280,1383290,157.08,"malloc(): corrupted top size "
0,250000,90,16,2523588,1615041,1932958977,435766236,0,396518,1830,2482,0,272423527,156148,1380313,161.79,"malloc(): corrupted top size "
0,250000,90,20,2529791,1624274,1930275719,451887328,0,403819,1953,1128,0,267604539,128293,1386196,163.07,"malloc(): corrupted top size "
0,250000,90,24,2512858,1616435,1931401704,449804619,0,410200,1978,2535,0,261695947,166251,1375866,157.48,"malloc(): corrupted top size "
0,250000,90,28,2511125,1624001,1932886631,448120988,0,401672,2000,2591,0,261812677,180620,1371245,157.51,"malloc(): corrupted top size "
0,250000,180,4,4992551,3060731,3854416481,887415049,38,768939,1964,2757,0,546405981,327872,2772310,313.38,"malloc(): corrupted top size "
0,250000,180,8,5047711,3012985,3806884982,864082267,36,776790,1581,838,0,542226721,219077,2749821,310.17,"malloc(): corrupted top size "
0,250000,180,12,4981225,3035694,3845700172,891162001,32,776747,1923,1934,0,539734404,290875,2743206,314.80,"malloc(): corrupted top size "
0,250000,180,16,5022934,3066342,3861066641,884414339,26,768545,2018,1975,0,542668389,269994,2781941,311.88,"malloc(): corrupted top size "
0,250000,180,20,5032983,3073801,3868377329,888923928,19,770317,1984,2051,0,536465329,352427,2795166,312.57,"malloc(): corrupted top size "
0,250000,180,24,5041891,3052451,3850434364,904118022,14,773976,1889,267,0,535750118,291506,2751315,315.00,"malloc(): corrupted top size "
0,250000,180,28,4966327,3082059,3883840858,909471662,9,778937,2063,2082,0,530176745,334909,2729252,319.25,"malloc(): corrupted top size "
0,250000,360,4,9821016,5835835,7628307301,1761773653,39,1537360,1885,4239,0,1084986977,524000,5449109,612.06,"malloc(): corrupted top size "
0,250000,360,8,9880357,5919753,7732087237,1798545626,37,1520137,2018,1634,0,1080481005,491962,5472454,645.06,"malloc(): corrupted top size "
0,250000,360,12,9808924,5825666,7615387031,1742272916,0,1524590,1913,3572,0,1093989612,519819,5515283,625.31,"malloc(): corrupted top size "
0,250000,360,16,9969751,5956842,7749782104,1762378138,24,1521037,2019,2638,0,1081366539,447134,5442357,611.50,"malloc(): corrupted top size "
0,250000,360,20,10063840,5964078,7713936212,1755889399,19,1517002,1975,3138,0,1079963809,581416,5485043,637.06,"malloc(): corrupted top size "
0,250000,360,24,9952247,5969825,7730762843,1762796248,14,1520916,1830,3864,0,1078051956,624334,5442255,638.54,"malloc(): corrupted top size "
0,250000,360,28,9988431,5889568,7637342566,1754340671,9,1523896,1896,2261,0,1085121600,506618,5579632,632.79,"malloc(): corrupted top size "
0,250000,720,4,19684987,11530785,15257857616,3493838270,168,3107916,5734,39872,0,2170979767,1073225,11161396,905.78," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 272 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,720,8,19672971,11513736,15286626146,3476636323,683,3128007,5663,40119,0,2171381620,1022090,10931762,868.43," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 267 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,720,12,19702275,11530585,15235180817,3480570854,587,3093544,5881,2260,0,2178756731,1145298,11096193,885.93," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 265 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,720,16,19777176,11549976,15257944764,3498871734,0,3106323,6153,39805,0,2171465285,1058265,10982336,876.43," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 274 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,720,20,19754921,11495579,15267134924,3497006724,389,3117729,5901,38721,0,2173080273,876099,10937653,872.96," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 269 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,720,24,19706012,11511409,15284976841,3480821831,292,3117745,5731,37961,0,2175288287,1145799,11189955,901.58," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 256 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
0,250000,720,28,19675300,11598061,15293740649,3494988242,195,3104092,5872,40117,0,2163939462,897132,10931409,928.68," Time WITHOUT software prefetching: 0 microseconds. Time WITH software prefetching: 0 microseconds. Time WITH SIMD: 0 microseconds. Time WITH software prefetching and SIMD: 272 microseconds.  Speedup (with software prefetching) = -nanx Speedup (with simd) = -nanx Speedup (with software prefetching and simd) = 0.000x "
