Sum - TimeElapsedSeconds	Data														
TileSize	256	300	400	512	800	1024	1200	1500	1800	2000	2048	2400	2700	3000	Total Result
2	0.02263	0.0336	0.07513	0.19835	0.6511	2.42059	1.6953	3.65215	6.4779	9.4016	37.71292	14.58676	21.8189	35.38672	134.13365
3	0.01632	0.02125	0.04483	0.13315	0.34649	1.00632	1.15378	2.57695	4.35747	6.07454	20.19807	10.1758	12.84806	19.29157	78.2446
4	0.01206	0.0182	0.04136	0.10434	0.27759	0.75329	1.01748	2.13101	3.54468	5.14055	17.85856	8.81561	12.1109	16.92401	68.74964
5	0.01227	0.02179	0.0421	0.08893	0.29877	0.59845	1.12277	2.18462	3.63405	5.08308	11.12184	8.50595	14.45425	17.73931	64.90818
6	0.01169	0.01979	0.04415	0.09272	0.29781	0.7475	1.07718	2.12774	4.03967	5.41976	8.75239	9.05257	14.0456	18.8321	64.56067
7	0.01596	0.02263	0.04865	0.09987	0.35462	0.75522	1.21927	2.42954	4.20582	5.9587	7.95744	10.10596	14.39419	20.09625	67.66412
8	0.01253	0.01912	0.04335	0.08714	0.31038	0.75789	1.12835	2.38802	4.12581	5.66272	7.69966	9.62561	13.43432	19.09063	64.38553
9	0.01135	0.018	0.03937	0.07838	0.28208	0.64614	0.93131	2.00393	3.42595	4.82776	6.01711	8.52633	11.95601	16.05581	54.81953
10	0.01071	0.01829	0.03718	0.07235	0.23221	0.53117	0.86295	1.71615	2.96251	4.22698	5.52775	7.44523	10.42667	14.4304	48.50055
11	0.00949	0.01751	0.03657	0.07281	0.22923	0.50427	0.87855	1.73766	2.98659	4.0587	5.52487	7.1026	10.5651	14.11597	47.83992
12	0.01043	0.01934	0.03362	0.06847	0.24809	0.51796	0.82501	1.76932	2.86096	4.02715	5.81103	7.20749	10.91821	13.25756	47.57464
13	0.00972	0.01965	0.03697	0.06887	0.24916	0.52727	0.80886	1.7513	2.91897	4.01871	5.65566	7.05607	10.65131	13.11433	46.88685
14	0.01294	0.01912	0.03519	0.07433	0.24221	0.55356	0.8591	1.71519	2.82489	3.82413	5.43553	6.84955	10.27952	13.39705	46.12231
15	0.01143	0.01561	0.03725	0.07717	0.24924	0.55648	0.85432	1.86017	3.0989	4.25329	5.27961	7.17891	10.83395	13.50432	47.81065
16	0.01219	0.01556	0.03914	0.07132	0.25592	0.58952	0.88435	1.71935	2.9329	4.04045	5.0924	7.01745	10.25758	13.54654	46.47467
17	0.00993	0.02142	0.03636	0.07512	0.2497	0.56309	0.87794	1.73981	2.97425	3.82898	4.9522	6.90679	10.40795	13.12018	45.76372
18	0.01109	0.01912	0.03648	0.07873	0.24811	0.57806	0.83164	1.68185	2.86978	3.92566	4.85379	6.83594	9.97756	12.82427	44.77208
19	0.01242	0.01795	0.03766	0.0769	0.25872	0.56781	0.83679	1.67674	2.78051	3.92368	4.97515	6.66898	10.01509	13.00167	44.85007
20	0.01128	0.02046	0.03494	0.07394	0.23657	0.56447	0.85297	1.66614	2.75878	3.81055	4.85443	6.48579	9.19137	12.08499	42.64668
21	0.01166	0.01974	0.0387	0.07753	0.24712	0.5523	0.84732	1.63947	2.77187	3.72101	4.88438	6.54681	8.97456	12.57588	42.90835
22	0.0119	0.01682	0.04093	0.07855	0.24747	0.58505	0.80672	1.62829	2.70471	3.99097	4.98986	6.39968	9.10475	12.11473	42.72043
23	0.01138	0.0209	0.03716	0.08223	0.25242	0.58118	0.82099	1.64032	2.84623	3.90677	5.18113	6.83211	9.12782	12.52284	43.86348
24	0.01216	0.01876	0.03759	0.08335	0.25425	0.60966	0.82617	1.7293	2.85095	3.79343	5.01385	6.83368	9.06434	12.60747	43.73496
25	0.01036	0.01738	0.0395	0.08349	0.25879	0.61859	0.83068	1.63541	2.80456	3.81336	4.98862	6.71071	9.63831	12.37476	43.82452
26	0.01136	0.01868	0.03462	0.07936	0.25436	0.61042	0.84606	1.67449	2.92708	4.02523	5.19765	6.67482	9.20167	12.36411	43.91991
27	0.01178	0.01881	0.04168	0.08233	0.25998	0.65065	0.96044	1.69259	2.78866	3.84056	4.97832	6.88267	9.16929	12.58813	43.96589
28	0.01362	0.02112	0.03847	0.08278	0.26083	0.59082	0.86167	1.62221	2.78369	3.80839	5.0599	6.52184	9.52508	12.6813	43.87172
29	0.01194	0.01951	0.03948	0.08404	0.26296	0.60443	0.85053	1.62991	2.85107	3.82309	5.03905	6.7537	9.62804	13.08823	44.68598
30	0.01529	0.01974	0.03852	0.08325	0.2651	0.62103	0.84442	1.64258	2.79121	3.83865	5.14789	6.70237	9.43951	13.06033	44.50989
31	0.011	0.01989	0.03591	0.08033	0.26121	0.59904	0.86708	1.63293	2.84823	3.89503	5.16106	6.61532	9.44918	12.87011	44.34632
32	0.01215	0.02021	0.04042	0.08811	0.266	0.63229	0.85419	1.65338	2.82984	3.91665	5.23647	6.67161	9.4695	12.87801	44.56883
33	0.01356	0.01948	0.04133	0.08751	0.26491	0.6425	0.85258	1.63827	2.79978	3.84619	5.08368	6.63569	9.40013	12.87154	44.19715
34	0.01225	0.01831	0.0391	0.08854	0.26615	0.62338	0.84836	1.63787	2.81017	3.85685	5.23964	6.71534	9.42694	12.92154	44.50444
35	0.01267	0.02145	0.04125	0.08473	0.26691	0.61741	0.86125	1.65358	2.81671	3.86192	5.16227	6.6588	9.44475	12.97307	44.47677
36	0.01233	0.01645	0.04251	0.08637	0.26806	0.63268	0.8617	1.64856	2.82859	3.88546	5.12471	6.7021	9.45499	12.98701	44.55152
37	0.01158	0.02029	0.03994	0.08689	0.27039	0.62712	0.86182	1.64911	2.84549	3.90865	5.13037	6.72132	9.49809	12.99013	44.66119
38	0.01334	0.02335	0.03821	0.08842	0.26551	0.63338	0.86768	1.67913	2.85417	3.92267	5.26117	6.75157	9.57917	13.10576	45.08353
39	0.01423	0.02095	0.03824	0.08994	0.2738	0.63942	0.88574	1.68526	2.88091	3.95855	5.13729	6.81308	9.66315	13.18103	45.28159
40	0.01259	0.01702	0.04229	0.08911	0.2708	0.63962	0.88359	1.69677	2.93243	4.02091	5.1798	6.90176	9.78484	13.38989	45.86142
41	0.01236	0.019	0.04527	0.08983	0.27783	0.64953	0.89437	1.71829	2.96314	4.07216	5.21206	7.02372	9.93203	13.55648	46.46607
42	0.01319	0.01948	0.04195	0.09216	0.28411	0.64756	0.90938	1.75635	3.01334	4.12895	5.32842	7.13006	10.18907	14.37035	47.92437
43	0.01387	0.01992	0.04212	0.08974	0.28855	0.66251	0.92992	1.79223	3.08566	4.22005	5.47812	7.47267	10.64818	14.3351	49.07864
44	0.01222	0.01902	0.04225	0.0904	0.30373	0.68	1.02597	1.90788	3.30106	4.40669	5.50015	7.74182	10.79952	14.80138	50.63209
45	0.01257	0.01868	0.04069	0.08997	0.30366	0.69547	1.01057	1.92707	3.2235	4.41266	5.41564	7.57693	11.10442	14.6739	50.50573
46	0.01475	0.02011	0.03983	0.0891	0.29413	0.67082	0.98885	1.89726	3.20785	4.36811	5.39701	7.6865	10.86174	15.33247	50.86853
47	0.01356	0.01981	0.04526	0.09465	0.30634	0.68927	0.98007	1.89401	3.24385	4.48428	5.42213	7.59111	10.71239	14.64714	50.14387
48	0.01368	0.01882	0.0445	0.09295	0.30033	0.68458	0.97521	1.88459	3.23404	4.43159	5.33883	7.67056	10.85016	14.79424	50.33408
49	0.01374	0.01997	0.04523	0.09261	0.30158	0.70602	0.99036	1.88245	3.22936	4.45533	5.45082	7.67105	10.85283	14.80527	50.51662
50	0.01401	0.02473	0.04465	0.09332	0.30385	0.6792	0.98906	1.9115	3.27028	4.48053	5.38026	7.70978	10.88774	14.93468	50.72359
