Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,64729,1504816,138958467,38528171,0,19413,2137,0,19398632,84702,29501,9.84,"Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
300,72405,2493469,209570189,57367661,0,24506,1988,0,30425247,111177,42771,15.14,"Array same : 1 Loop optimized matrix multiplication took 10 ms to execute  Normalized performance: 0.000000  "
400,3781936,8891193,538072537,131033119,0,72945,3106,0,68452078,184146,3412330,33.23,"Array same : 1 Loop optimized matrix multiplication took 26 ms to execute  Normalized performance: 0.000000  "
512,16493466,18512685,1151182480,261198662,0,113114,5560,0,141980585,291152,15826644,64.04,"Array same : 1 Loop optimized matrix multiplication took 53 ms to execute  Normalized performance: 0.000000  "
800,64848275,64805530,4197417862,1110010941,0,1789008,35632,0,532459188,702626,64166950,265.83,"Array same : 1 Loop optimized matrix multiplication took 242 ms to execute  Normalized performance: 0.000000  "
1024,143181000,134080401,8725881046,2512545156,0,11413209,278300,0,1113647651,1147439,134741744,586.05,"Array same : 1 Loop optimized matrix multiplication took 553 ms to execute  Normalized performance: 0.000000  "
1200,228618084,217518131,14040845055,4207457921,0,25472095,604304,0,1774936851,1554120,216250795,960.82,"Array same : 1 Loop optimized matrix multiplication took 912 ms to execute  Normalized performance: 0.000000  "
1500,459248343,424039123,27331813571,8585147753,0,183187263,6925516,0,3448982307,2417209,421277921,1936.78,"Array same : 1 Loop optimized matrix multiplication took 1870 ms to execute  Normalized performance: 0.000000  "
1800,985358114,732228218,47118729051,14493826807,0,415085573,10008979,0,5945019275,3473095,711405164,3268.32,"Array same : 1 Loop optimized matrix multiplication took 3171 ms to execute  Normalized performance: 0.000000  "
2000,1722005942,1005147225,64598739722,18843853373,0,643384635,7626756,0,8133318355,4287221,952770583,4238.04,"Array same : 1 Loop optimized matrix multiplication took 4119 ms to execute  Normalized performance: 0.000000  "
2048,1863889955,1079648883,69328619569,20421222586,0,701955299,11873889,0,8728984410,4495294,1022368405,4605.96,"Array same : 1 Loop optimized matrix multiplication took 4481 ms to execute  Normalized performance: 0.000000  "
2400,3007698883,1740469236,111431352861,32420624679,0,1264692135,13133124,0,14009874365,6158126,1650154390,7277.10,"Array same : 1 Loop optimized matrix multiplication took 7108 ms to execute  Normalized performance: 0.000000  "
2700,4271559755,2489598088,158499229296,46440049576,0,1908512316,20189342,0,19917434697,7786334,2362705582,10416.80,"Array same : 1 Loop optimized matrix multiplication took 10203 ms to execute  Normalized performance: 0.000000  "
3000,5873799383,3454750300,217289962348,63679477589,0,2713206118,28025476,0,27299913720,9610186,3251004951,14270.67,"Array same : 1 Loop optimized matrix multiplication took 14009 ms to execute  Normalized performance: 0.000000  "
257,43886,722230,124549237,38582146,0,15083,1705,0,19608841,85500,33235,9.93,"Array same : 1 Loop optimized matrix multiplication took 6 ms to execute  Normalized performance: 0.000000  "
301,84819,3177402,223086305,56990397,0,24952,1744,0,30715995,111712,48641,17.51,"Array same : 1 Loop optimized matrix multiplication took 12 ms to execute  Normalized performance: 0.000000  "
401,3310732,8928601,538853789,131357568,0,75442,3002,0,69203723,184722,2961925,32.52,"Array same : 1 Loop optimized matrix multiplication took 25 ms to execute  Normalized performance: 0.000000  "
513,17602933,18519032,1160682015,259372947,0,115790,4044,0,142491056,293142,16878353,62.21,"Array same : 1 Loop optimized matrix multiplication took 51 ms to execute  Normalized performance: 0.000000  "
801,65214327,64730959,4208427072,964968640,0,583024,13947,0,535640870,699651,63852990,221.12,"Array same : 1 Loop optimized matrix multiplication took 197 ms to execute  Normalized performance: 0.000000  "
1025,136217060,134969470,8754152361,2059083899,0,1986065,45141,0,1110177908,1140778,135542482,467.86,"Array same : 1 Loop optimized matrix multiplication took 432 ms to execute  Normalized performance: 0.000000  "
1201,218566202,218573910,14076863649,3839618510,0,15319597,454605,0,1780157540,1555125,217514398,864.72,"Array same : 1 Loop optimized matrix multiplication took 820 ms to execute  Normalized performance: 0.000000  "
1501,589784927,424333764,27365485259,8317457210,0,155431745,4138820,0,3461285979,2420441,411734658,1876.38,"Array same : 1 Loop optimized matrix multiplication took 1808 ms to execute  Normalized performance: 0.000000  "
1801,980640611,733807635,47213355477,14458265326,0,395734338,10437770,0,5949507556,3476345,716566375,3247.67,"Array same : 1 Loop optimized matrix multiplication took 3150 ms to execute  Normalized performance: 0.000000  "
2001,1735842770,1006135381,64673881118,18938827130,0,646146916,7868396,0,8146405049,4293314,962068539,4255.41,"Array same : 1 Loop optimized matrix multiplication took 4135 ms to execute  Normalized performance: 0.000000  "
2049,1871305560,1079595072,69399502705,20280371364,0,690972992,7622588,0,8736374323,4583431,1021895079,4555.55,"Array same : 1 Loop optimized matrix multiplication took 4430 ms to execute  Normalized performance: 0.000000  "
2401,3015779986,1748481018,111586869965,32833078484,0,1248647082,14854008,0,14026178124,6162294,1651517156,7367.50,"Array same : 1 Loop optimized matrix multiplication took 7198 ms to execute  Normalized performance: 0.000000  "
2701,4288533395,2494679356,158613739328,46793816700,0,1875280072,21941880,0,19949921642,7793564,2359514436,10491.67,"Array same : 1 Loop optimized matrix multiplication took 10278 ms to execute  Normalized performance: 0.000000  "
3001,5890124074,3463668053,217491875801,64196557627,0,2761554671,31532527,0,27322585698,9627786,3309759174,14388.04,"Array same : 1 Loop optimized matrix multiplication took 14126 ms to execute  Normalized performance: 0.000000  "
