Parameter,l2_rqsts.miss,L1-dcache-load-misses,instructions,cycles,sw_prefetch_access.any,cache-misses,LLC-load-misses,context-switches,branch-instructions,branch-misses,cache-references,task-clock,ExecutableOutput
256,69968,259120,76176000,34043174,0,16827,1980,0,5767132,84732,28579,11.14,"Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
300,85563,2996374,145350219,53097879,0,27612,2253,0,8105247,111229,46371,15.65,"Array same : 1 Loop optimized matrix multiplication took 11 ms to execute  Normalized performance: 0.000000  "
400,4128301,8413824,329474413,120574944,0,76979,3960,0,17816555,182844,3803478,30.10,"Array same : 1 Loop optimized matrix multiplication took 23 ms to execute  Normalized performance: 0.000000  "
512,17268923,18275219,715549657,254091140,0,109683,5896,0,32791568,291224,16530155,62.90,"Array same : 1 Loop optimized matrix multiplication took 49 ms to execute  Normalized performance: 0.000000  "
800,64880063,64211836,2577836812,949907644,0,1229526,39928,0,110404077,699266,64559500,224.58,"Array same : 1 Loop optimized matrix multiplication took 201 ms to execute  Normalized performance: 0.000000  "
1024,141365827,135909157,5401382667,2452253290,0,12419386,636626,0,219893760,1140043,134516254,574.12,"Array same : 1 Loop optimized matrix multiplication took 537 ms to execute  Normalized performance: 0.000000  "
1200,230125514,218240529,8578016772,3911253491,0,25818413,774599,0,339761220,1551488,215802633,896.90,"Array same : 1 Loop optimized matrix multiplication took 850 ms to execute  Normalized performance: 0.000000  "
1500,612588532,423926073,16644121788,7747564138,0,157152073,5333326,0,642055147,2415549,405601329,1751.67,"Array same : 1 Loop optimized matrix multiplication took 1683 ms to execute  Normalized performance: 0.000000  "
1800,1230457951,731670032,28652901963,12900761934,0,398625770,14689313,0,1085794503,3473273,691256930,2897.49,"Array same : 1 Loop optimized matrix multiplication took 2800 ms to execute  Normalized performance: 0.000000  "
2000,1733306053,1003898663,39308789401,17819588170,0,655122107,24026877,0,1481201060,4286128,949065555,4008.69,"Array same : 1 Loop optimized matrix multiplication took 3889 ms to execute  Normalized performance: 0.000000  "
2048,1864747525,1076937475,42178657226,19533273662,0,711840288,29107495,0,1585503033,4487698,1020271962,4390.18,"Array same : 1 Loop optimized matrix multiplication took 4265 ms to execute  Normalized performance: 0.000000  "
2400,3008376851,1741569532,67646202750,30656076906,0,1310062837,46500031,0,2508796605,6161425,1667216782,6890.85,"Array same : 1 Loop optimized matrix multiplication took 6720 ms to execute  Normalized performance: 0.000000  "
2700,4293957097,2491747274,96230942605,43995092619,0,1909440290,68393797,0,3534995175,7789140,2352663813,9864.62,"Array same : 1 Loop optimized matrix multiplication took 9651 ms to execute  Normalized performance: 0.000000  "
3000,5898674339,3455557361,131880378775,60284264951,0,2756897366,93877932,0,4816729650,9607615,3250434580,13515.05,"Array same : 1 Loop optimized matrix multiplication took 13252 ms to execute  Normalized performance: 0.000000  "
257,54812,369919,82778753,34507754,0,15681,1832,0,5870649,85497,30369,9.14,"Array same : 1 Loop optimized matrix multiplication took 5 ms to execute  Normalized performance: 0.000000  "
301,319435,2743551,137264887,52301361,0,34914,2162,0,8246944,111647,241782,13.98,"Array same : 1 Loop optimized matrix multiplication took 9 ms to execute  Normalized performance: 0.000000  "
401,3603642,8287611,330310081,118663415,0,77178,3945,0,17603847,183080,3412126,30.21,"Array same : 1 Loop optimized matrix multiplication took 23 ms to execute  Normalized performance: 0.000000  "
513,17386454,18401932,715432442,237547981,0,114314,5430,0,33200632,295893,16958728,57.24,"Array same : 1 Loop optimized matrix multiplication took 46 ms to execute  Normalized performance: 0.000000  "
801,64813800,64912639,2591774279,854457433,0,336541,7146,0,111178391,702124,64626356,196.13,"Array same : 1 Loop optimized matrix multiplication took 174 ms to execute  Normalized performance: 0.000000  "
1025,136401237,135157550,5379774722,2364179445,0,11735238,437762,0,220664579,1137281,135430799,536.56,"Array same : 1 Loop optimized matrix multiplication took 500 ms to execute  Normalized performance: 0.000000  "
1201,218529334,218758532,8610477355,3602563017,0,14433619,542110,0,341632469,1554765,217847222,811.90,"Array same : 1 Loop optimized matrix multiplication took 767 ms to execute  Normalized performance: 0.000000  "
1501,502466542,425366489,16710361371,8041749463,0,154857549,4721350,0,644545841,2420062,417757943,1817.63,"Array same : 1 Loop optimized matrix multiplication took 1748 ms to execute  Normalized performance: 0.000000  "
1801,1220324799,733757651,28755304312,13071649145,0,405148611,14886578,0,1090408807,3474178,700029673,2938.06,"Array same : 1 Loop optimized matrix multiplication took 2839 ms to execute  Normalized performance: 0.000000  "
2001,1736935930,1006558402,39381629826,17907153561,0,646504779,23555050,0,1485185813,4291403,948009386,4023.08,"Array same : 1 Loop optimized matrix multiplication took 3904 ms to execute  Normalized performance: 0.000000  "
2049,1871611179,1079313563,42248302167,19233532153,0,716654250,25788686,0,1591341122,4491433,1032213948,4323.50,"Array same : 1 Loop optimized matrix multiplication took 4199 ms to execute  Normalized performance: 0.000000  "
2401,3011518235,1744513972,67782617821,31117002621,0,1303200320,46688781,0,2514670995,6436215,1676616277,6989.34,"Array same : 1 Loop optimized matrix multiplication took 6821 ms to execute  Normalized performance: 0.000000  "
2701,4299006382,2495409591,96401196504,44065434397,0,1933070577,66798915,0,3545236378,7792938,2365422612,9880.37,"Array same : 1 Loop optimized matrix multiplication took 9667 ms to execute  Normalized performance: 0.000000  "
3001,5906534377,3465383205,132042705960,60716334135,0,2760600936,96838053,0,4829034060,9613340,3296266233,13609.98,"Array same : 1 Loop optimized matrix multiplication took 13356 ms to execute  Normalized performance: 0.000000  "
